34.62366,78.02469,0,0
30.28671,43.89500,0,0
35.84741,72.90220,0,0
60.18260,86.30855,34.62366,1
79.03274,75.34438,30.28671,1
45.08328,56.31637,0,0
61.10666,96.51143,35.84741,1
75.02475,46.55401,60.18260,1
76.09879,87.42057,79.03274,1
84.43282,43.53339,45.08328,1
95.86156,38.22528,0,0
75.01366,30.60326,0,0
82.30705,76.48196,61.10666,1
69.36459,97.71869,75.02475,1
39.53834,76.03681,0,0
53.97105,89.20735,76.09879,1
69.07014,52.74047,84.43282,1
67.94686,46.67857,0,0
70.66151,92.92714,95.86156,1
76.97878,47.57596,75.01366,1
67.37203,42.83844,0,0
89.67678,65.79937,82.30705,1
50.53479,48.85581,0,0
34.21206,44.20953,0,0
77.92409,68.97236,69.36459,1
62.27101,69.95446,39.53834,1
80.19018,44.82163,53.97105,1
93.11439,38.80067,0,0
61.83021,50.25611,0,0
38.78580,64.99568,0,0
61.37929,72.80789,69.07014,1
85.40452,57.05198,67.94686,1
52.10798,63.12762,0,0
52.04540,69.43286,70.66151,1
40.23689,71.16775,0,0
54.63511,52.21389,0,0
33.91550,98.86944,0,0
64.17699,80.90806,76.97878,1
74.78925,41.57342,0,0
34.18364,75.23772,0,0
83.90239,56.30805,67.37203,1
51.54772,46.85629,0,0
94.44337,65.56892,89.67678,1
82.36875,40.61826,0,0
51.04775,45.82270,0,0
62.22268,52.06099,0,0
77.19303,70.45820,50.53479,1
97.77160,86.72782,34.21206,1
62.07306,96.76882,77.92409,1
91.56497,88.69629,62.27101,1
79.94482,74.16312,80.19018,1
99.27253,60.99903,93.11439,1
90.54671,43.39060,61.83021,1
34.52451,60.39634,0,0
50.28650,49.80454,0,0
49.58668,59.80895,0,0
97.64563,68.86157,38.78580,1
32.57720,95.59855,0,0
74.24869,69.82457,61.37929,1
71.79646,78.45356,85.40452,1
75.39561,85.75994,52.10798,1
35.28611,47.02051,0,0
56.25382,39.26147,0,0
30.05882,49.59297,0,0
44.66826,66.45009,0,0
66.56089,41.09210,0,0
40.45755,97.53519,52.04540,1
49.07256,51.88321,0,0
80.27957,92.11606,40.23689,1
66.74672,60.99139,54.63511,1
32.72283,43.30717,0,0
64.03932,78.03169,33.91550,1
72.34649,96.22759,64.17699,1
60.45789,73.09500,34.18364,1
58.84096,75.85845,83.90239,1
99.82786,72.36925,51.54772,1
47.26427,88.47586,94.44337,1
50.45816,75.80986,82.36875,1
60.45556,42.50841,0,0
82.22666,42.71988,0,0
88.91390,69.80379,51.04775,1
94.83451,45.69431,62.22268,1
67.31926,66.58935,77.19303,1
57.23871,59.51428,97.77160,1
80.36676,90.96015,62.07306,1
68.46852,85.59431,91.56497,1
42.07545,78.84479,0,0
75.47770,90.42454,79.94482,1
78.63542,96.64743,99.27253,1
52.34800,60.76951,0,0
94.09433,77.15911,90.54671,1
90.44855,87.50879,34.52451,1
55.48216,35.57070,0,0
74.49269,84.84514,50.28650,1
89.84581,45.35828,49.58668,1
83.48916,48.38029,97.64563,1
42.26170,87.10385,32.57720,1
99.31501,68.77541,74.24869,1
55.34002,64.93194,71.79646,1
74.77589,89.52981,75.39561,1
